id,ns_name,country_name,ns_go_id
145,Red Cross Society of the Republic of Moldova,"Moldova, Republic of",202
146,Red Cross of Monaco,Monaco,117
147,Mongolian Red Cross Society,Mongolia,194
148,Red Cross of Montenegro,Montenegro,270
149,British Red Cross,Montserrat,336
150,Moroccan Red Crescent,Morocco,119
151,Mozambique Red Cross Society,Mozambique,120
152,Myanmar Red Cross Society,Myanmar,121
153,Namibia Red Cross,Namibia,122
154,Nepal Red Cross Society,Nepal,123
155,The Netherlands Red Cross,Netherlands,124
156,New Zealand Red Cross,New Zealand,125
157,Nicaraguan Red Cross,Nicaragua,126
158,Red Cross Society of Niger,Niger,127
159,Nigerian Red Cross Society,Nigeria,128
160,Australian Red Cross,Norfolk Island,337
161,Red Cross of The Republic of North Macedonia,North Macedonia,108
162,American Red Cross,Northern Mariana Islands,338
163,Norwegian Red Cross,Norway,129
164,Pakistan Red Crescent,Pakistan,131
165,Palau Red Cross Society,Palau,130
166,The Palestine Red Crescent Society,Palestine,205
167,Red Cross Society of Panama,Panama,132
168,Papua New Guinea Red Cross Society,Papua New Guinea,133
169,Red Cross Society of China,Paracel Islands,357
170,Paraguayan Red Cross,Paraguay,134
171,Peruvian Red Cross,Peru,135
172,Philippine Red Cross,Philippines,136
173,Polish Red Cross,Poland,199
174,Portuguese Red Cross,Portugal,138
175,American Red Cross,Puerto Rico,257
176,Qatar Red Crescent Society,Qatar,139
177,The Republic of Korea National Red Cross,Republic of Korea,192
178,Romanian Red Cross,Romania,141
179,The Russian Red Cross Society,Russian Federation,142
180,Rwandan Red Cross,Rwanda,143
181,British Red Cross,Saint Helena,262
182,Saint Kitts and Nevis Red Cross Society,Saint Kitts and Nevis,177
183,Saint Lucia Red Cross,Saint Lucia,178
184,Saint Vincent and the Grenadines Red Cross,Saint Vincent and the Grenadines,179
185,Samoa Red Cross Society,Samoa,147
186,Red Cross of the Republic of San Marino,San Marino,260
187,Sao Tome and Principe Red Cross,Sao Tome and Principe,185
188,Saudi Red Crescent Authority,Saudi Arabia,149
189,Senegalese Red Cross Society,Senegal,150
190,Japanese Red Cross Society,Senkaku Islands,359
191,The Red Cross of Serbia,Serbia,271
192,Seychelles Red Cross Society,Seychelles,151
193,Sierra Leone Red Cross Society,Sierra Leone,152
194,Singapore Red Cross Society,Singapore,153
195,Slovak Red Cross,Slovakia,154
196,Slovenian Red Cross,Slovenia,155
197,The Solomon Islands Red Cross,Solomon Islands,156
198,Somali Red Crescent Society,Somalia,157
199,The South African Red Cross Society,South Africa,158
200,British Red Cross,South Georgia and the South Sandwich Island,339
201,South Sudan Red Cross,South Sudan,290
202,Spanish Red Cross,Spain,159
203,The Sri Lanka Red Cross Society,Sri Lanka,160
204,The Sudanese Red Crescent,Sudan,161
205,Suriname Red Cross,Suriname,180
206,Swedish Red Cross,Sweden,164
207,Swiss Red Cross,Switzerland,165
208,Syrian Arab Red Crescent,Syrian Arab Republic,206
209,Red Crescent Society of Tajikistan,Tajikistan,167
210,Tanzania Red Cross National Society,"Tanzania, United Republic of",189
211,The Thai Red Cross Society,Thailand,169
212,Timor-Leste Red Cross Society,Timor-Leste,210
213,Togolese Red Cross,Togo,170
214,Tonga Red Cross Society,Tonga,171
215,The Trinidad and Tobago Red Cross Society,Trinidad and Tobago,172
216,French Red Cross,Tromelin Island,361
217,Tunisian Red Crescent,Tunisia,173
218,Turkish Red Crescent Society,Turkey,174
219,Red Crescent Society of Turkmenistan,Turkmenistan,175
220,British Red Cross,Turks and Caicos islands,341
221,Tuvalu Red Cross Society,Tuvalu,213
222,The Uganda Red Cross Society,Uganda,176
223,Ukrainian Red Cross Society,Ukraine,1
224,Red Crescent Society of the United Arab Emirates,United Arab Emirates,2
225,British Red Cross,United Kingdom,3
226,American Red Cross,United States,4
227,American Red Cross,United States Virgin Islands,342
228,Uruguayan Red Cross,Uruguay,5
229,Red Crescent Society of Uzbekistan,Uzbekistan,6
230,Vanuatu Red Cross Society,Vanuatu,7
231,Venezuelan Red Cross,Venezuela,8
232,Vietnam Red Cross Society,Viet Nam,191
233,Yemen Red Crescent Society,Yemen,10
234,Zambia Red Cross Society,Zambia,12
235,Zimbabwe Red Cross Society,Zimbabwe,13
