id,name,badge_url
1,Polyglot,/static/assets/achievement-badges/Polyglot.png
2,MVP 2022,/static/assets/achievement-badges/MVP-2022.png
3,Maiden Voyage,/static/assets/achievement-badges/Maiden-Voyage.png
4,Self Promoter,/static/assets/achievement-badges/Self-Promoter.png
5,World Traveler,/static/assets/achievement-badges/World-Traveler.png
6,Teaching Moment,/static/assets/achievement-badges/Teaching-Moment.png
7,Fast Turnaround,/static/assets/achievement-badges/Fast-Turnaround.png
8,Super Scholar,/static/assets/achievement-badges/Super-Scholar.png
